"","min_rows","mtries","ntrees","model_ids","r2"
"1","2.0","10","100","rf.grid_model_58","0.3283322320192522"
"2","2.0","10","150","rf.grid_model_41","0.3280789245794443"
"3","2.0","9","150","rf.grid_model_51","0.32592148186133285"
"4","2.0","6","150","rf.grid_model_32","0.3251018398397716"
"5","2.0","6","100","rf.grid_model_56","0.32482166371005805"
"6","2.0","5","150","rf.grid_model_60","0.3224700068084422"
"7","3.0","8","100","rf.grid_model_44","0.32241686680297443"
"8","2.0","7","100","rf.grid_model_47","0.3212085083865355"
"9","2.0","5","100","rf.grid_model_54","0.32096656501868603"
"10","2.0","4","150","rf.grid_model_10","0.320105790434985"
"11","2.0","7","50","rf.grid_model_15","0.3200259814477453"
"12","2.0","6","50","rf.grid_model_19","0.31931714443454595"
"13","3.0","7","150","rf.grid_model_3","0.31922219213114866"
"14","3.0","10","100","rf.grid_model_48","0.31883475005122786"
"15","2.0","4","100","rf.grid_model_65","0.3180972003143073"
"16","3.0","6","100","rf.grid_model_38","0.31781015313516237"
"17","3.0","7","100","rf.grid_model_61","0.31744725971344845"
"18","2.0","8","50","rf.grid_model_73","0.31697895442861623"
"19","3.0","5","150","rf.grid_model_42","0.3167106151817549"
"20","2.0","5","50","rf.grid_model_36","0.3165474621149852"
"21","4.0","10","150","rf.grid_model_35","0.3160272813848787"
"22","3.0","9","100","rf.grid_model_30","0.31571497981871977"
"23","4.0","10","100","rf.grid_model_20","0.3154748785428886"
"24","2.0","4","50","rf.grid_model_78","0.31372661104491295"
"25","4.0","9","100","rf.grid_model_59","0.3127712520892585"
"26","3.0","7","50","rf.grid_model_18","0.31237537133221216"
"27","3.0","6","50","rf.grid_model_8","0.31199894185409227"
"28","3.0","9","50","rf.grid_model_28","0.31131089225178954"
"29","4.0","8","150","rf.grid_model_52","0.3111984288772496"
"30","2.0","3","100","rf.grid_model_11","0.31065589560010143"
"31","4.0","7","150","rf.grid_model_57","0.31009858260879797"
"32","4.0","10","50","rf.grid_model_21","0.30969639968543716"
"33","5.0","10","150","rf.grid_model_72","0.30902672385593666"
"34","4.0","8","100","rf.grid_model_4","0.30872093040400217"
"35","4.0","6","150","rf.grid_model_31","0.3086702258553299"
"36","4.0","7","100","rf.grid_model_5","0.30817916554510394"
"37","3.0","4","150","rf.grid_model_37","0.3080609888809568"
"38","4.0","6","100","rf.grid_model_12","0.30790419882415365"
"39","4.0","9","50","rf.grid_model_68","0.3077694479826142"
"40","5.0","7","150","rf.grid_model_63","0.30607127411765467"
"41","2.0","2","150","rf.grid_model_79","0.305674753477851"
"42","2.0","2","100","rf.grid_model_49","0.3054366225095948"
"43","5.0","9","150","rf.grid_model_24","0.30521249855764654"
"44","5.0","8","150","rf.grid_model_14","0.30508863968839794"
"45","5.0","8","100","rf.grid_model_1","0.3049462020468592"
"46","5.0","7","100","rf.grid_model_33","0.30492950782848227"
"47","3.0","4","50","rf.grid_model_40","0.30465411196067815"
"48","5.0","9","100","rf.grid_model_46","0.3044938476105704"
"49","4.0","8","50","rf.grid_model_67","0.3040729885474166"
"50","2.0","3","50","rf.grid_model_64","0.3033669157410035"
"51","3.0","3","150","rf.grid_model_17","0.30328302318322786"
"52","5.0","6","150","rf.grid_model_23","0.3029923757864411"
"53","4.0","5","150","rf.grid_model_76","0.30290937158917086"
"54","4.0","4","150","rf.grid_model_66","0.30241244642189014"
"55","4.0","4","50","rf.grid_model_74","0.30219744313212715"
"56","4.0","4","100","rf.grid_model_6","0.3021389361938157"
"57","5.0","8","50","rf.grid_model_39","0.30001696529565014"
"58","5.0","9","50","rf.grid_model_53","0.29962112883652314"
"59","5.0","6","50","rf.grid_model_70","0.2995621241337322"
"60","4.0","5","100","rf.grid_model_50","0.2987409061657883"
"61","5.0","5","150","rf.grid_model_2","0.297671606267503"
"62","2.0","2","50","rf.grid_model_26","0.2974716873110681"
"63","3.0","3","50","rf.grid_model_45","0.2966895098887794"
"64","5.0","5","100","rf.grid_model_29","0.29556064118701164"
"65","3.0","2","129","rf.grid_model_80","0.29514847622699947"
"66","5.0","4","150","rf.grid_model_62","0.2949536755472971"
"67","3.0","2","100","rf.grid_model_9","0.2944498406813134"
"68","4.0","5","50","rf.grid_model_25","0.29395722845888517"
"69","5.0","4","100","rf.grid_model_43","0.2923945486629773"
"70","4.0","3","150","rf.grid_model_34","0.2920747984282006"
"71","4.0","3","100","rf.grid_model_71","0.2919039701834413"
"72","5.0","4","50","rf.grid_model_13","0.2900480180388113"
"73","4.0","3","50","rf.grid_model_75","0.28686279964685146"
"74","5.0","3","100","rf.grid_model_7","0.2853258293560932"
"75","5.0","3","50","rf.grid_model_77","0.28249586152079953"
"76","4.0","2","150","rf.grid_model_22","0.28145923946743634"
"77","4.0","2","100","rf.grid_model_69","0.27970243534396555"
"78","4.0","2","50","rf.grid_model_16","0.2737977321638456"
"79","5.0","2","150","rf.grid_model_27","0.2721869147617024"
"80","5.0","2","100","rf.grid_model_55","0.27161051501525546"
